date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
2018-12-30,2018,0,0,KC,OAK,,,,,,
2018-12-30,2018,0,0,HOU,JAX,,,,,,
2018-12-30,2018,0,0,GB,DET,,,,,,
2018-12-30,2018,0,0,TEN,IND,,,,,,
2018-12-30,2018,0,0,WSH,PHI,,,,,,
2018-12-30,2018,0,0,BUF,MIA,,,,,,
2018-12-30,2018,0,0,BAL,CLE,,,,,,
2018-12-30,2018,0,0,SEA,ARI,,,,,,
2018-12-30,2018,0,0,LAR,SF,,,,,,
2018-12-30,2018,0,0,DEN,LAC,,,,,,
